Grundsätze
Fahrzeugkasten
Fahrzeugausbau
Fahrzeuginneneinrichtung
Fahrwerk
Energieanlage, Antriebsanlage
Steuerungsanlage für Fahrbetrieb
Hilfsbetriebsanlage
Überwachungs-und Sicherheitseinrichtungen
Beleuchtung
Klimatisierung
Nebenbetriebsanlage
Türen, Einstiege
Informationseinrichtungen
Pneumatik/Hydraulik
Bremse
Fahrzeugverbindungseinrichtungen
Tragsysteme, Umschließungen
elektrische Leitungsverlegung
Fahrzeug
Verfahren
Untergestell
Längswände
Dach
Fahrzeugkopf
Stirnwand
Anschweißteile, Anbauteile
Zwischendecke
Zwischenwand
Fenster
Fußboden
Innenverkleidung
Trennwand
Außenanbauten
Fahrzeuglackierung
Isolierung
Haltestangen, Griffe (Innenbereich)
Sitze, Liegen, Tische
Sanitäreinrichtungen
Gepäckablage
Zusätzliche Einrichtungen
tragende Strukturen
Radsätze, Lagerung, Führung, Räder
Federung, Dämpfung, Ausgleich
Lenkungssysteme (aktiv)
Anlenkungssysteme (passiv)
Schutzanbauteile
Energiezuführung
Energieerzeugung
Energieumsetzung
Energieabführung
Energiespeicherung
Steuerung für Energiezuführung
Steuerung für Fahren und Bremsen
Steuerung für Energieerzeugung
Systemerfassung
Steuerung für Energiespeicherung
Umformereinrichtung
Batterieeinrichtung
Bordnetz
Kühlung für Energie- und Antriebsanlage
Notstromerzeugungseinrichtungen
Mess-und Schutzeinrichtungen
Melden, Registrieren, Anzeigen
Sicherheitseinrichtungen
Datenübertragungseinrichtungen
Kommunikationseinrichtungen
zusätzliche Ausstattungen
Außenbeleuchtungseinrichtungen
Innenbeleuchtungseinrichtungen
Ansaugung, Entlüftung
Aufbereitung
Verteilung
Regelung
Sanden
Schmiereinrichtung
Weichensteuerung
Fahrausweiseinrichtungen
Fahrgastzähleinrichtung
Ausrüstung zur Gleisbehandlung
Messsysteme
Sonderausrüstungen Nebenfahrzeuge
Zweiwegetechnik
Außentüren
Innentüren
Einstiege, Aufstiege (nicht innen)
Behinderteneinstiege
optische Informationseinrichtungen
optische Informationselemente
Unterhaltung
Werbung
akustische Informationseinrichtungen
Erzeugung
Bevorratung
Bremselemente
mechanische Bremskraftübertragung
automatische Kupplungseinrichtungen
manuelle Kupplungseinrichtungen
Stoßeinrichtungen, Puffereinrichtungen
Abschleppeinrichtungen (Notkupplungen)
Übergänge/Übergangseinrichtungen
Schnittstelle Fahrzeug-Fahrzeug für Medien, Signale, Energie
Schränke, Behälter, Container
Gerüste, Tafeln
Bedien- und Anzeigeeinheiten
Elektronische Aufbausysteme
Kabel, Leitungen und Schienen
Bezeichnungs- und Anschlussmaterial
Verbindungsmaterial
Durchführungen
Leitungskanäle, -rohre, -schläuche
Allgemein
Regelwerk
Software
Instandhaltungsplan (IHP)
Ausrüstungsgegenstände
Fahrzeugstruktur
Zusätzlich gültige IW-Cen
Schweißen
Kleben
Zerstörungsfreie Prüfung
Farbgebung
Messen
Wiegen
Fahrzeugrohbau
Kastenrohbau
Wagenkasten
Blechfußboden
Bodenauflage
Bodengerippe
Bodenrahmen
Bodenwanne
Kipprahmen
Kopfstück
Kupplungsträger
Langträger
Pufferträger
Querträger
Rungenstützrahmen
Sickenboden
Sprengwerk
Tragrahmengerüst
Untergestell-Mittelteil
Untergestell-Vorbau
Wellblechboden
Fensterecke
Fenstersäule
Fensterstiel
Schiebewand
Seitenwand
Seitenwandblech
Seitenwandgerippe
Seitenwandgurt
Seitenwandklappe
Seitenwandsäule
Seitenwandsaum
Türrahmen
Türsäule
Dachblech
Dachgerippe
Haube
Hub-Schiebedach
Rolldach
Schiebedach
Schwenkdach
Spriegel
Voute
Führerraumbeblechung
Führerraumgerippe
Kunststoffkopf
Fahrzeugheck
Rückwandgerippe
Stirnwandblech
Stirnwandgerippe
Stirnwandgurt
Stirnwandsaum
Abdeckung
Annietteile
Anschläge
Auflager
Ballasteinbau
Begrenzungsstück
Beilage
Bodendurchführung
Bodenklappe
Deckplatte
Dichtblech
Drehzapfenbock
Drehzapfenträger
Eckblech
Ecksäule
Fahrbahnblech
Funkenschutzblech
Hebebock
Knotenblech
Konsole
Radkasten
Radschutzkappe
Rammdachgurt
Sattelstütze
Schottblech
Strebe
Stützbock
Stützgerüst
Verstärkungsstücke
Versteifung
Wasserablauf
Wippe
Zwischenboden
Schubwand
Zwischenwandgerippe
Abteil
Einstiegsraum
Fahrzeugaufbau
Fahrgastraum
Führerraum
Funktionsraum
Gepäckraum
Großraum
Heckführerstand
Innenausbau
Konferenzabteil
Küche
Maschinenraum
Mehrzweckraum
Mutter-Kind-Abteil
Restaurant
Sonderabteile
Toilettenraum
Vorraum
Waschraum
Zugpersonalabteil
Fallfenster
Fensterausgleich
Festfenster
Frontscheibe
Kippfenster
Klappfenster
Schiebefenster
Seitenscheibe
Stimwandfenster
Türfenster
Blendleiste
Bodenplatte
Fußbodenbelag
Fußbodenunterbau
Ladeboden
Ladeschwelle
Laufblech
Laufrost
Saumwinkel
Schwelle
Stoßleiste
Treppe (innen)
Trittblende
Deckenklappe
Deckenverkleidung
Friesverkleidung
Führerraumverkleidung
Heizkörperverkleidung
Reinigungsklappe
Rückwandverkleidung
Schrankverkleidung
Seitenwandverkleidung
Stirnwandklappe
Stirnwandverkleidung
Abteiltrennwand
Glastrennwand
Kofferregal
Längswand
Querwand
Arbeitsbühne
Aufzugsanlage
Außenverkleidung
Bahnräumer
Bugspoiler
Dachverkleidung
Drehschemel
Fahnenhalter
Fördereinrichtung
Gleitboden
Griff
Haken
Hebebühne
Hebezeug
Kastenaufsatz
Kippeinrichtung
Kopfklappe
Kuhfänger
Ladeeinrichtung
Ladeklappe
Lüftungseinrichtung
Regenrinne
Rückwandklappe
Runge
Rungenauflage
Rungenhalterung
Rungenkette
Rungentasche
Schürze
Signalstütze
Steinschlagschutz
Türklappe
Unterfahrschutz
Zettelhalter
Anstrich
Anstrichaufbau
Schallisolierung
Wärmeisolierung
Innenausstattung
Geländer
Griffe
Halteschlaufe
Handlauf
Handstange
Begleitersitz
Bett
Eckbank
Fahrgastsitz
Führersitz
Klappsitz
Klapptisch
Liege
Leiter
Seitenwandtisch
Sitzgestell
Sitzkasten
Abfluss
Absaugeinrichtung
Abwasserbehälter
Abwasserentsorgung
Druckspüleinrichtung
Entkeimungsanlage
Frischwasserbehälter
Füllstandsanzeigeeinrichtung
Füllstutzen
Fußbetätigung
Händetrockner
Handtuchbehälter
Mischbatterie
Papierbehälter
Rohrverlegung
Seifenspender
Spiegel
Spüleinrichtung
Toilettenpapierbehälter
Vakuum-WC
Warmwasserbereiter
Waschbecken
Wascheinrichtung
Waschschrank
Wasserbehälter
Wasserversorgung
WC-Becken
Gepäckbrett
Kofferregale
Packgestänge
Abfallbehälter
Aschenbecher
Fahrradhalter
Faxgerät
Feuerlöscher
Feuerschutzgerät
Garderobe
Geldautomat
Kleiderhaken
Kleiderschrank
Kühlschrank
Skihalter
Telefon
Werkzeugschrank
Einachsfahrwerk
